date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:08:56	1123/1123	---M-Z	200	added ('OK')	text/html	date:Thu,%2027%20Apr%202023%2022:08:57%20GMT	https://rawcdn.githack.com/lioxryt/lioxryt-assets/a4041fc9b45936f148d3d7134977d5df4329e237/other/slope/index.html	C:/My%20Web%20Sites/tes/rawcdn.githack.com/lioxryt/lioxryt-assets/a4041fc9b45936f148d3d7134977d5df4329e237/other/slope/index.html	(from )
17:08:56	191/191	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2027%20Apr%202023%2022:08:57%20GMT	https://rawcdn.githack.com/robots.txt		(from )
17:08:56	191/191	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2027%20Apr%202023%2022:08:57%20GMT	https://rawcdn.githack.com/img/newlogo.png	C:/My%20Web%20Sites/tes/rawcdn.githack.com/img/newlogo.png	(from https://rawcdn.githack.com/lioxryt/lioxryt-assets/a4041fc9b45936f148d3d7134977d5df4329e237/other/slope/index.html)
17:08:57	175/175	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2027%20Apr%202023%2022:08:58%20GMT	http://raw.githack.com/img/newlogo.png	C:/My%20Web%20Sites/tes/raw.githack.com/img/newlogo.2.delayed	(from https://rawcdn.githack.com/lioxryt/lioxryt-assets/a4041fc9b45936f148d3d7134977d5df4329e237/other/slope/index.html)
17:08:58	1536/1536	---M-Z	200	added ('OK')	text/css	date:Thu,%2027%20Apr%202023%2022:08:58%20GMT	https://rawcdn.githack.com/lioxryt/lioxryt-assets/a4041fc9b45936f148d3d7134977d5df4329e237/other/slope/TemplateData/style.css	C:/My%20Web%20Sites/tes/rawcdn.githack.com/lioxryt/lioxryt-assets/a4041fc9b45936f148d3d7134977d5df4329e237/other/slope/TemplateData/style.css	(from https://rawcdn.githack.com/lioxryt/lioxryt-assets/a4041fc9b45936f148d3d7134977d5df4329e237/other/slope/index.html)
17:08:58	1182/1182	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2027%20Apr%202023%2022:08:58%20GMT	https://rawcdn.githack.com/lioxryt/lioxryt-assets/a4041fc9b45936f148d3d7134977d5df4329e237/other/slope/TemplateData/UnityProgress.js	C:/My%20Web%20Sites/tes/rawcdn.githack.com/lioxryt/lioxryt-assets/a4041fc9b45936f148d3d7134977d5df4329e237/other/slope/TemplateData/UnityProgress.js	(from https://rawcdn.githack.com/lioxryt/lioxryt-assets/a4041fc9b45936f148d3d7134977d5df4329e237/other/slope/index.html)
17:08:58	193878/193878	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2027%20Apr%202023%2022:08:59%20GMT	https://rawcdn.githack.com/lioxryt/lioxryt-assets/a4041fc9b45936f148d3d7134977d5df4329e237/other/slope/TemplateData/unityloader41.js	C:/My%20Web%20Sites/tes/rawcdn.githack.com/lioxryt/lioxryt-assets/a4041fc9b45936f148d3d7134977d5df4329e237/other/slope/TemplateData/unityloader41.js	(from https://rawcdn.githack.com/lioxryt/lioxryt-assets/a4041fc9b45936f148d3d7134977d5df4329e237/other/slope/index.html)
17:08:58	14/14	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2027%20Apr%202023%2022:08:59%20GMT	https://rawcdn.githack.com/html/settings/js/index.js	C:/My%20Web%20Sites/tes/rawcdn.githack.com/html/settings/js/index.js	(from https://rawcdn.githack.com/lioxryt/lioxryt-assets/a4041fc9b45936f148d3d7134977d5df4329e237/other/slope/index.html)
17:08:58	191/191	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2027%20Apr%202023%2022:08:59%20GMT	https://rawcdn.githack.com/lioxryt/lioxryt-assets/a4041fc9b45936f148d3d7134977d5df4329e237/other/slope/TemplateData/progressLogo.Light.png	C:/My%20Web%20Sites/tes/rawcdn.githack.com/lioxryt/lioxryt-assets/a4041fc9b45936f148d3d7134977d5df4329e237/other/slope/TemplateData/progressLogo.Light.png	(from https://rawcdn.githack.com/lioxryt/lioxryt-assets/a4041fc9b45936f148d3d7134977d5df4329e237/other/slope/TemplateData/style.css)
17:08:59	14/14	---M--	404	error ('Not%20Found')	text/plain	date:Thu,%2027%20Apr%202023%2022:08:59%20GMT	https://raw.githubusercontent.com/lioxryt/lioxryt-assets/a4041fc9b45936f148d3d7134977d5df4329e237/other/slope/TemplateData/progressLogo.Light.png	C:/My%20Web%20Sites/tes/raw.githubusercontent.com/lioxryt/lioxryt-assets/a4041fc9b45936f148d3d7134977d5df4329e237/other/slope/TemplateData/progressLogo.Light.8.delayed	(from https://rawcdn.githack.com/lioxryt/lioxryt-assets/a4041fc9b45936f148d3d7134977d5df4329e237/other/slope/TemplateData/style.css)
